Pokémon,Gen,Category,Form Of,Shiny Exists?,RNG Shiny Hunt Possible?,Currently Huntable?,Bucket(A-E),Games / Platforms,Hunting Methods,Odds,Shiny Charm?,Pokémon GO Method,HOME Guaranteed Shiny?,Event-Only Shiny?,Notable Forms,Notes
Articuno,I,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Let's Go Pikachu/Eevee, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Let's Go Pikachu/Eevee: Overworld static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Let's Go Pikachu/Eevee 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes; n/a (GO has no Shiny Charm),Legendary raids (shiny since Jul 2019); ~1/20; rotates,No,No,"Galarian Articuno — see its own row (Gen VIII, GO-only shiny)","Kanto birds broadly huntable. Galarian Articuno (Gen 8) is a separate, shiny-locked static in SwSh but shiny via GO Daily Adventure Incense."
Zapdos,I,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Let's Go Pikachu/Eevee, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Let's Go Pikachu/Eevee: Overworld static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Let's Go Pikachu/Eevee 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes; n/a (GO has no Shiny Charm),Legendary raids (shiny since Jul 2019); ~1/20; rotates,No,No,"Galarian Zapdos — see its own row (Gen VIII, GO-only shiny)",See Articuno note re: Galarian form.
Moltres,I,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Let's Go Pikachu/Eevee, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Let's Go Pikachu/Eevee: Overworld static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Let's Go Pikachu/Eevee 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes; n/a (GO has no Shiny Charm),Legendary raids (shiny since Jul 2019); ~1/20; rotates,No,No,"Galarian Moltres — see its own row (Gen VIII, GO-only shiny)",See Articuno note re: Galarian form.
Mewtwo,I,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Let's Go Pikachu/Eevee, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Let's Go Pikachu/Eevee: Cerulean Cave static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure special boss [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Let's Go Pikachu/Eevee 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes; n/a (GO has no Shiny Charm),Legendary raids (shiny since Sep 2019); Mega X/Y shiny GO Fest 2026; ~1/20,No,No,—,"Huntable via USUM, Ramanas Park, LGPE, and GO raids. NOTE its Dynamax Adventure form is shiny-locked."
Mew,I,Mythical,—,Yes,Yes,No (historical only),"E (hunt, historical only)","Emerald (Japan, Old Sea Map), Other events, Pokémon GO","Emerald (Japan, Old Sea Map): Faraway Island static (soft-reset) | Pokémon GO: Masterwork Research 'All-in-One #151' (guaranteed shiny reward) | Other events: Distribution [LOCKED]","Emerald (Japan, Old Sea Map) 1/8192 | Pokémon GO 100% (guaranteed)",No charm pre-Gen6,Shiny via 'All-in-One #151' Masterwork (guaranteed; $5). Not RNG-huntable in GO.,No,No,—,"Correction: shiny Mew IS a (historical) self-catch hunt via the Japan-only Old Sea Map (Faraway Island, Emerald), 1/8192 — long discontinued. Also a guaranteed GO Masterwork shiny."
Raikou,II,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Crystal (Virtual Console) / HGSS, Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Crystal (Virtual Console) / HGSS: Roaming (DVs/PID lock on first sighting) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Crystal (Virtual Console) / HGSS 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Jun 2019); ~1/20; rotates,No,No,—,Legendary beasts huntable via many modern routes.
Entei,II,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Crystal (VC) / HGSS, Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Crystal (VC) / HGSS: Roaming (locks on first sighting) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Crystal (VC) / HGSS 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Jul 2019); ~1/20; rotates,No,No,—,
Suicune,II,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Crystal (VC), Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Crystal (VC): Tin Tower static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Crystal (VC) 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Aug 2019); ~1/20; rotates,No,No,—,"Static (soft-resettable) in Crystal, roams in G/S."
Lugia,II,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Gen 3 (event) / HGSS / Crystal, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Gen 3 (event) / HGSS / Crystal: Navel Rock / Whirl Islands static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Gen 3 (event) / HGSS / Crystal 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Mar 2018 — first shiny legendary in GO); ~1/20,No,No,—,"Ramanas Park (Squall Slate, Shining Pearl)."
Ho-Oh,II,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Gen 3 (event) / HGSS / Crystal, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Gen 3 (event) / HGSS / Crystal: Navel Rock / Tin Tower static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Gen 3 (event) / HGSS / Crystal 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since May 2018); ~1/20; rotates,No,No,—,"Ramanas Park (Rainbow Slate, Brilliant Diamond)."
Celebi,II,Mythical,—,Yes,Yes,No (historical only),"E (hunt, historical only)","Crystal (Virtual Console), Pokémon GO",Crystal (Virtual Console): GS Ball event static (soft-reset) | Pokémon GO: Special Research 'Distracted by Something Shiny' (re-run as Masterwork) (guaranteed shiny reward),Crystal (Virtual Console) 1/8192 | Pokémon GO 100% (guaranteed),No charm pre-Gen6,Shiny via Special/Masterwork Research (guaranteed). Not RNG in GO.,No,No,—,Rare Mythical with a real (historical) RNG hunt: VC Crystal GS-Ball Celebi. No longer accessible (VC discontinued).
Regirock,III,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Omega Ruby/Alpha Sapphire, Pokémon GO, Ruby/Sapphire/Emerald, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Sword/Shield (Crown Tundra): Regi puzzle static (soft-reset) | Ruby/Sapphire/Emerald: Sealed chamber static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/4096->1/1365 | Ruby/Sapphire/Emerald 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Nov 2019); ~1/20; rotates,No,No,—,"One of the most route-rich hunts (DA, USUM, BDSP, ORAS, SwSh static, GO)."
Regice,III,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Omega Ruby/Alpha Sapphire, Pokémon GO, Ruby/Sapphire/Emerald, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Sword/Shield (Crown Tundra): Regi puzzle static (soft-reset) | Ruby/Sapphire/Emerald: Sealed chamber static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/4096->1/1365 | Ruby/Sapphire/Emerald 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Nov 2019); ~1/20; rotates,No,No,—,"One of the most route-rich hunts (DA, USUM, BDSP, ORAS, SwSh static, GO)."
Registeel,III,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Omega Ruby/Alpha Sapphire, Pokémon GO, Ruby/Sapphire/Emerald, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Sword/Shield (Crown Tundra): Regi puzzle static (soft-reset) | Ruby/Sapphire/Emerald: Sealed chamber static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/4096->1/1365 | Ruby/Sapphire/Emerald 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Nov 2019); ~1/20; rotates,No,No,—,"One of the most route-rich hunts (DA, USUM, BDSP, ORAS, SwSh static, GO)."
Latias,III,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Legends: Z-A (Mega Dimension DLC, 2026), Omega Ruby/Alpha Sapphire, Pokémon GO, Ruby/Sapphire/Emerald, Scarlet/Violet (Indigo Disk), Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon","Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Legends: Z-A (Mega Dimension DLC, 2026): 5-star Hyperspace Distortion (run-back reroll) | Ruby/Sapphire/Emerald: Roaming / Southern Island static | Scarlet/Violet (Indigo Disk): Static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid)","Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Legends: Z-A (Mega Dimension DLC, 2026) ~1/4096 base->up to ~1/585 | Ruby/Sapphire/Emerald 1/8192 | Pokémon GO ~1/20",Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/4096 -> 1/1365); Yes; stacks with Sparkling Power Lv3 donut (-> ~1/585); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Feb 2019); ~1/20; rotates,No,No,—,NEW 2026: shiny-huntable in Legends Z-A Mega Dimension Hyperspace Distortions (first found shiny there).
